Neighbourhood,Assault Rate 2014,Assault Rate 2015,Assault Rate 2016,Assault Rate 2017,Assault Rate 2018,Assault Rate 2019,Assault Rate 2020,Assault Rate 2021,Assault Rate 2022,Assault Rate 2023
Bay-Cloverhill,742.64,685.07,807.88,971.98,818.23,958.67,573.7,817.26,647.6,745.21
Annex,720.65,764.39,872.98,826.36,785.27,882.72,795.63,924.66,1092.03,1147.76
University,1903.95,2213.65,1774.72,2258.29,1748.79,1759.41,1003.12,1243.24,1476.71,1679.01
Kensington-Chinatown,1764.8,2029.68,2033.97,2251.05,2265.86,1935.29,1969.61,1879.14,1849.96,2270.48
